Name,City,Country,Firm,Status,Year Built,Floors,Use,Antenna Height,Spire Height,Roof Height,Height,Architectural Style,Latitude,Longitude,Address,Architect,,,,
United Building,"Chicago, IL",United States,,Built,1992,49,Office,,,203.6 m,203.6 ,Modernism,41.8847,-87.6305,"77 W Wacker Dr, Chicago, IL 60601","Graham, Anderson, Probst & White",,,,
UBS Tower,"Chicago, IL",United States,Lohan Associates,Built,2001,50,Office,,,198.6 m,198.6 ,Modernism,41.8853,-87.6247,"1 N Wacker Dr, Chicago, IL 60606","Skidmore, Owings & Merrill",,,,
Richard J. Daley Center,"Chicago, IL",United States,"C.F. Murphy Associates; Skidmore, Owings & Merrill; Loebl, Schlossman & Bennett",Built,1965,32,Courthouse,,,197.5 m,197.5 ,Modernism,41.8843,-87.6302,"50 W Washington St, Chicago, IL 60602",C. F. Murphy Associates,,,,
55 East Erie,"Chicago, IL",United States,Fujikawa Johnson & Associates; Searl & Associates Architects,Built,2003,58,Residential,,,197.2 m,197.2 ,Contemporary,41.8938,-87.6256,"55 E Erie St, Chicago, IL 60611",Lucien Lagrange Architects,,,,
Lake Point Tower,"Chicago, IL",United States,Schipporeit Heinrich,Built,1968,69,Residential,,,196.6 m,196.6 ,Modernism,41.8935,-87.6144,"505 N Lake Shore Dr, Chicago, IL 60611","George Schipporeit, John Heinrich, and Bruno Conterato",,,,
River East Center,"Chicago, IL",United States,DeStefano & Partners,Built,2001,58,Residential,,,196.3 m,196.3 ,Contemporary,41.8929,-87.6163,"512 N McClurg Ct, Chicago, IL 60611","DeStefano + Partners, Perkins+Will",,,,
Grand Plaza I,"Chicago, IL",United States,,Built,2004,57,Residential,,195.4 m,170.9 m,195.4 ,Contemporary,41.8911,-87.6217,"540 N State St, Chicago, IL 60654",DeStefano + Partners,,,,
155 North Wacker,"Chicago, IL",United States,Goettsch Partners,Built,2009,45,Office,,,194.6 m,194.6 ,Modernism,41.8846,-87.6362,"155 N Wacker Dr, Chicago, IL 60606",Goettsch Partners,,,,
Leo Burnett Building,"Chicago, IL",United States,,Built,1989,46,Office,,,193.6 m,193.6 ,Modernism,41.8845,-87.6378,"35 W Wacker Dr, Chicago, IL 60601","Kevin Roche, John Dinkeloo",,,,
The Heritage at Millennium Park,"Chicago, IL",United States,,Built,2005,57,Residential,,,192.4 m,192.4 ,Contemporary,41.8826,-87.6229,"130 N Garland Ct, Chicago, IL 60602",Solomon Cordwell Buenz,,,,
OneEleven,"Chicago, IL",United States,Handel Architects; Epstein,Built,2014,59,Residential,,192 m,187.8 m,192 ,Contemporary,41.8844,-87.6336,"111 W Wacker Dr, Chicago, IL 60601",Solomon Cordwell Buenz,,,,
NBC Tower,"Chicago, IL",United States,"Skidmore, Owings & Merrill",Built,1989,37,Office,,191.1 m,151.5 m,191.1 ,Postmodernism,41.8936,-87.6274,"454 N Columbus Dr, Chicago, IL 60611","Adrian D. Smith, Skidmore, Owings & Merrill",,,,
353 North Clark,"Chicago, IL",United States,Lohan Anderson; A. Epstein and Sons International,Built,2009,40,Office,,,190.2 m,190.2 ,Postmodernism,41.8889,-87.6307,"353 N Clark St, Chicago, IL 60654",Goettsch Partners,,,,
Essex on the Park,"Chicago, IL",United States,Hartshorne Plunkard Architecture,Built,2019,56,Residential,,,189 m,189 ,Contemporary,41.8751,-87.6242,"808 S Michigan Ave, Chicago, IL 60605",Hartshorne Plunkard Architecture,,,,
Millenium Centre,"Chicago, IL",United States,,Built,2004,59,Residential,,,185.9 m,185.9 ,Postmodernism,41.8826,-87.6366,"33 W Ontario St, Chicago, IL 60654",Solomon Cordwell Buenz,,,,
Chicago Place,"Chicago, IL",United States,,Built,1991,49,Residential,,,185.3 m,185.3 ,Modernism,41.8932,-87.6253,"700 N Michigan Ave, Chicago, IL 60611",C. F. Murphy Associates,,,,
Chicago Board of Trade,"Chicago, IL",United States,Holabird and Root,Built,1930,44,Office,,184.4 m,174.9 m,174.9 ,Art Deco,41.8776,-87.6336,"141 W Jackson Blvd, Chicago, IL 60604",Holabird & Root,,,,
CNA Plaza,"Chicago, IL",United States,Graham Anderson Probst and White,Built,1972,44,Office,,,183.2 m,183.2 ,Modernism,41.8801,-87.6342,"333 S Wabash Ave, Chicago, IL 60604","Graham, Anderson, Probst & White",,,,
One Prudential Plaza,"Chicago, IL",United States,Naess & Murphy,Built,1955,41,Office,278 m,,183.2 m,183.2 ,International Style,41.8848,-87.6229,"130 E Randolph St, Chicago, IL 60601","Naess & Murphy, Bruce Graham",,,,
Heller International Building,"Chicago, IL",United States,"Skidmore, Owings & Merrill",Built,1992,45,Office,,,182.9 m,182.9 ,Modernism,41.8828,-87.6277,"500 W Monroe St, Chicago, IL 60661","Graham, Anderson, Probst & White",,,,
Madison Plaza,"Chicago, IL",United States,"Skidmore, Owings & Merrill",Built,1982,45,Office,,,182 m,182 ,Postmodernism,41.8817,-87.6299,"200 W Madison St, Chicago, IL 60606","Skidmore, Owings & Merrill",,,,
Central Station - One Museum Park West,"Chicago, IL",United States,,Built,2010,54,Residential,,,181.3 m,181.3 ,Modernism,41.8658,-87.6172,"1211 S Prairie Ave, Chicago, IL 60605",Lucien Lagrange Architects,,,,
1000 Lake Shore Plaza,"Chicago, IL",United States,Sidney Morris and Associates,Built,1964,55,Residential,,,179.8 m,179.8 ,Modernism,41.8976,-87.6192,"1000 N Lake Shore Dr, Chicago, IL 60611",DeStefano + Partners,,,,
The Clare at Water Tower,"Chicago, IL",United States,Perkins & Will,Built,2008,52,Residential,,,179.5 m,179.5 ,Modernism,41.8973,-87.6253,"55 E Pearson St, Chicago, IL 60611",Perkins+Will,,,,
Citicorp Center,"Chicago, IL",United States,"Murphy/Jahn, Inc. Architects",Built,1987,42,Office,,,179.2 m,179.2 ,Modernism,41.8772,-87.6354,"500 W Madison St, Chicago, IL 60661",Murphy/Jahn,,,,
Marina City I,"Chicago, IL",United States,Bertrand Goldberg,Built,1962,61,Residential,,,179.2 m,179.2 ,Modernism,41.8879,-87.6266,"300 N State St, Chicago, IL 60654",Bertrand Goldberg,,,,
Marina City II,"Chicago, IL",United States,Bertrand Goldberg,Built,1962,61,Residential,,,179.2 m,179.2 ,Modernism,41.8876,-87.6278,"300 N State St, Chicago, IL 60654",Bertrand Goldberg,,,,
Optima Signature,"Chicago, IL",United States,"David C. Hovey, FAIA",Built,2017,57,Residential,,,178.9 m,178.9 ,Modernism,41.8935,-87.6257,"220 E Illinois St, Chicago, IL 60611","David Hovey, Optima",,,,
Smurfit-Stone Building,"Chicago, IL",United States,Sheldon Schlegman; A. Epstein & Sons International,Built,1984,41,Office,,177.4 m,177.4 m,177.4 ,Modernism,41.8895,-87.6286,"150 N Michigan Ave, Chicago, IL 60601","Sheldon Schlegman, Fujikawa Johnson & Associates",,,,
Mid-Continental Plaza,"Chicago, IL",United States,Alfred Shaw & Associates,Built,1972,50,Mixed use,,,177.4 m,177.4 ,Modernism,41.8814,-87.6324,"55 E Monroe St, Chicago, IL 60603",Fujikawa Johnson & Associates,,,,
North Pier Apartments,"Chicago, IL",United States,Dubin Dubin Black and Moutoussamy,Built,1990,61,Residential,,,177 m,177 ,Modernism,41.8924,-87.6126,"474 N Lake Shore Dr, Chicago, IL 60611",Richard A. Stein,,,,
Citadel Center,"Chicago, IL",United States,,Built,2003,39,Office,,,176.8 m,176.8 ,Modernism,41.8802,-87.6336,"131 S Dearborn St, Chicago, IL 60603",Lohan Anderson,,,,
Civic Opera Building,"Chicago, IL",United States,Graham Anderson Probst and White,Built,1929,45,Office,,,169.2 m,169.2 ,Art Deco,41.8827,-87.6403,"20 N Wacker Dr, Chicago, IL 60606","Graham, Anderson, Probst & White",,,,
The Fordham,"Chicago, IL",United States,,Built,2003,52,Residential,,,175 m,175 ,Modernism,41.8981,-87.6227,"25 E Superior St, Chicago, IL 60611",Solomon Cordwell Buenz,,,,
190 South LaSalle,"Chicago, IL",United States,Johnson Burgee Architects,Built,1987,40,Office,,,174.7 m,174.7 ,Art Deco,41.8792,-87.6312,"190 S LaSalle St, Chicago, IL 60603","Graham, Anderson, Probst & White",,,,
One South Dearborn,"Chicago, IL",United States,DeStefano Keating and Partners,Built,2005,39,Office,,,174 m,174 ,Modernism,41.8797,-87.6312,"1 S Dearborn St, Chicago, IL 60603","Perkins, Chatten & Hammond",,,,
Onterie Center,"Chicago, IL",United States,"Skidmore, Owings & Merrill",Built,1986,58,Office,,,173.7 m,173.7 ,Modernism,41.8972,-87.6218,"446 E Ontario St, Chicago, IL 60611",Fujikawa Johnson & Associates,,,,
151 North Franklin,"Chicago, IL",United States,Adamson Associates; John Ronan Architects,Built,2018,36,Office,,,173.1 m,173.1 ,Contemporary,41.8855,-87.6342,"151 N Franklin St, Chicago, IL 60606",Solomon Cordwell Buenz,,,,
Chicago Temple Building,"Chicago, IL",United States,Holabird and Roche,Built,1924,23,Office,,173 m,,173 ,Gothic Revival,41.8838,-87.6287,"77 W Washington St, Chicago, IL 60602",Holabird & Roche,,,,
Palmolive Building,"Chicago, IL",United States,Holabird and Root,Built,1929,37,Residential,,172.2 m,142.6 m,172.2 ,Art Deco,41.8985,-87.6247,"919 N Michigan Ave, Chicago, IL 60611",Holabird & Roche,,,,
Boeing World Headquarters,"Chicago, IL",United States,,Built,1990,36,Office,,,171 m,171 ,Modernism,41.8828,-87.6417,"100 N Riverside Plaza, Chicago, IL 60606",Perkins+Will,,,,
Huron Plaza,"Chicago, IL",United States,Gordon and Levin,Built,1983,56,Residential,,,171 m,171 ,Modernism,41.8937,-87.6315,"30 W Huron St, Chicago, IL 60654",Fujikawa Johnson & Associates,,,,
Pittsfield Building,"Chicago, IL",United States,"Graham, Anderson, Probst & White",Built,1927,38,Office,,,169.8 m,169.8 ,Art Deco,41.8859,-87.6272,"55 E Washington St, Chicago, IL 60602","Graham, Anderson, Probst & White",,,,
The Parkshore,"Chicago, IL",United States,Barancik Conte,Built,1991,56,Residential,,,169.5 m,169.5 ,Postmodernism,41.8807,-87.6195,"175 N Harbor Dr, Chicago, IL 60601",Lucien Lagrange Architects,,,,
North Harbor Tower,"Chicago, IL",United States,Fujikawa Johnson & Associates,Built,1988,55,Residential,,,169 m,169 ,Modernism,41.8878,-87.6127,"175 N Harbor Dr, Chicago, IL 60601",Harry Weese,,,,
Illinois Center - Michigan Plaza South,"Chicago, IL",United States,Fujikawa Johnson,Built,1985,46,Office,,,169 m,169 ,Modernism,41.8852,-87.6215,"205 N Michigan Ave, Chicago, IL 60601",Fujikawa Johnson & Associates,,,,
30 North LaSalle,"Chicago, IL",United States,Thomas E. Stanley,Built,1975,44,Office,,,169 m,169 ,Art Deco,41.8826,-87.6327,"30 N LaSalle St, Chicago, IL 60602","Graham, Anderson, Probst & White",,,,
Streeter Place,"Chicago, IL",United States,"Solomon, Cordwell, Buenz and Associates",Built,2009,53,Residential,,168.8 m,165.6 m,168.8 ,Modernism,41.8924,-87.6156,"355 E Ohio St, Chicago, IL 60611",Solomon Cordwell Buenz,,,,
Newberry Plaza,"Chicago, IL",United States,Gordon and Levin,Built,1974,53,Residential,,,168.5 m,168.5 ,Modernism,41.9019,-87.6332,"1030 N State St, Chicago, IL 60610",Bertrand Goldberg,,,,
Harbor Point,"Chicago, IL",United States,SCBA,Built,1975,54,Residential,,,168 m,168 ,Modernism,41.8852,-87.6193,"155 N Harbor Dr, Chicago, IL 60601",DeStefano + Partners,,,,
Cirrus,"Chicago, IL",United States,bKL Architecture,Built,2021,47,Residential,,,167.6 m,167.6 ,Contemporary,41.8873,-87.6126,"211 N Harbor Dr, Chicago, IL 60601",bKL Architecture,,,,
One South Wacker,"Chicago, IL",United States,"Murphy/Jahn, Inc. Architects",Built,1982,40,Office,,,167.6 m,167.6 ,Modernism,41.8819,-87.6338,"1 S Wacker Dr, Chicago, IL 60606","Bruce Graham, Skidmore, Owings & Merrill",,,,
Loews North Park Drive,"Chicago, IL",United States,,Built,2015,54,Mixed use,,,166.6 m,166.6 ,Modernism,41.8933,-87.6171,"5400 N Sheridan Rd, Chicago, IL 60640",Naess & Murphy,,,,
Kluczynski Federal Building,"Chicago, IL",United States,Ludwig Mies van der Rohe,Built,1975,45,Office,,,166.1 m,166.1 ,Modernism,41.8808,-87.6339,"230 S Dearborn St, Chicago, IL 60604",Mies van der Rohe,,,,
Illinois Center - Park Millennium,"Chicago, IL",United States,,Built,2002,57,Residential,,,165.8 m,165.8 ,Modernism,41.8862,-87.6201,"222 N Columbus Dr, Chicago, IL 60601",Loewenberg Architects,,,,
AMLI Rivernorth Tower,"Chicago, IL",United States,Dick Mann/Cubellis,Built,2013,50,Residential,,,165.5 m,165.5 ,Contemporary,41.8888,-87.6322,"71 W Hubbard St, Chicago, IL 60654",Solomon Cordwell Buenz,,,,
LaSalle-Wacker Building,"Chicago, IL",United States,Andrew N. Rebori; Holabird & Roche,Built,1930,41,Office,,165.5 m,156.1 m,165.5 ,Modernism,41.8878,-87.6323,"221 N LaSalle St, Chicago, IL 60601",Holabird & Root,,,,
The Bristol,"Chicago, IL",United States,,Built,2000,42,Residential,,,148.7 m,148.7 ,Contemporary,41.8831,-87.6296,"57 E Delaware Pl, Chicago, IL 60611",Valerio Dewalt Train Associates,,,,
USG Building,"Chicago, IL",United States,,Built,1992,35,Office,,,164 m,164 ,Modernism,41.8838,-87.6273,"222 W Merchandise Mart Plaza, Chicago, IL 60654","Skidmore, Owings & Merrill",,,,
AT&T 10 South Canal,"Chicago, IL",United States,Holabird and Root,Built,1971,27,Telecom hotel,,164m,148 m,164,Modernism,41.8797,-87.6391,"10 S Canal St, Chicago, IL 60606","Graham, Anderson, Probst & White",,,,
465 North Park Drive,"Chicago, IL",United States,,Built,2018,48,Residential,,,163.1 m,163.1 ,Contemporary,41.8919,-87.6197,"465 N Park Dr, Chicago, IL 60611",Pappageorge Haymes Partners,,,,
The Pinnacle,"Chicago, IL",United States,,Built,2004,48,Residential,,,163 m,163 ,Contemporary,41.8974,-87.6207,"21 E Huron St, Chicago, IL 60611",Lucien Lagrange Architects,,,,
Field Building,"Chicago, IL",United States,Graham Anderson Probst and White,Built,1934,45,Office,,,163 m,163 ,Gothic Revival,41.8827,-87.6334,"135 S LaSalle St, Chicago, IL 60603",D. H. Burnham & Company,,,,
Park Place Tower,"Chicago, IL",United States,,Built,1971,56,Residential,,,161.8 m,161.8 ,Modernism,41.9591,-87.6546,"655 W Irving Park Rd, Chicago, IL 60613",Solomon Cordwell Buenz,,,,
One North LaSalle,"Chicago, IL",United States,Vitzhum & Burns,Built,1930,48,Office,,,161.5 m,161.5 ,Art Deco,41.8821,-87.6322,"1 N LaSalle St, Chicago, IL 60602",Vitzthum & Burns,,,,
Elysées Condominiums,"Chicago, IL",United States,,Built,1972,56,Residential,,,161.2 m,161.2 ,Modernism,41.8916,-87.6266,"1560 N Sandburg Terrace, Chicago, IL 60610",Schipporeit-Heinrich Associates,,,,
River Plaza,"Chicago, IL",United States,Gordon & Levin,Built,1977,56,Residential,,,160 m,160 ,Modernism,41.8928,-87.6179,"405 N Wabash Ave, Chicago, IL 60611","Skidmore, Owings & Merrill",,,,
Randolph Tower,"Chicago, IL",United States,Vitzhum & Burns,Built,1929,45,Residential,,,141 m,141 ,Art Deco,41.8849,-87.6333,"188 W Randolph St, Chicago, IL 60601",Vitzthum & Burns,,,,
Unitrin Building,"Chicago, IL",United States,"Shaw, Metz and Associates",Built,1962,41,Office,,,159.9 m,159.9 ,Modernism,41.8795,-87.6334,"1 E Wacker Dr, Chicago, IL 60601",Harrison & Abramovitz,,,,
The Paragon,"Chicago, IL",United States,,Built,2019,48,Residential,,,159.4 m,159.4 ,Contemporary,41.8703,-87.6255,"1326 S Michigan Ave, Chicago, IL 60605",Murphy & Jahn,,,,
35 East Wacker Drive,"Chicago, IL",United States,Giaver Dinkelberg Thielbar and Fugard,Built,1927,40,Office,,,159.4 m,159.4 ,Art Deco,41.886,-87.625,"35 E Wacker Dr, Chicago, IL 60601",Rapp & Rapp,,,,
Mather Tower,"Chicago, IL",United States,Herbert Hugh Riddle,Built,1928,42,Mixed use,,,158.8 m,158.8 ,Gothic Revival,41.8864,-87.628,"75 E Wacker Dr, Chicago, IL 60601",Herbert Hugh Riddle,,,,
Chicago Mercantile Exchange Center I,"Chicago, IL",United States,Fujikawa Johnson,Built,1987,40,Office,,,158 m,158 ,Postmodernism,41.8823,-87.6335,"10 S Wacker Dr, Chicago, IL 60606",Murphy/Jahn,,,,
Chicago Mercantile Exchange Center II,"Chicago, IL",United States,Fujikawa Johnson,Built,1987,40,Office,,,158 m,158 ,Postmodernism,41.8817,-87.6336,"30 S Wacker Dr, Chicago, IL 60606",Murphy/Jahn,,,,
The Columbian,"Chicago, IL",United States,,Built,2008,47,Residential,,,157.6 m,157.6 ,Contemporary,41.8734,-87.6251,"1160 S Michigan Ave, Chicago, IL 60605",Pappageorge Haymes Partners,,,,
191 North Wacker,"Chicago, IL",United States,Kohn Pedersen Fox Associates; Kendell/Heaton Associates,Built,2002,37,Office,,,157.3 m,157.3 ,Postmodernism,41.8845,-87.6331,"191 N Wacker Dr, Chicago, IL 60606",Kohn Pedersen Fox,,,,
The Streeter,"Chicago, IL",United States,"Solomon, Cordwell, Buenz and Associates",Built,2007,50,Residential,,,157 m,157 ,Contemporary,41.8927,-87.6152,"345 E Ohio St, Chicago, IL 60611",Brininstool+Lynch,,,,
401 East Ontario,"Chicago, IL",United States,,Built,1990,51,Residential,,,157 m,157 ,Modernism,41.8934,-87.616,"401 E Ontario St, Chicago, IL 60611",Loewenberg Architects,,,,
One Financial Place,"Chicago, IL",United States,"Skidmore, Owings & Merrill",Built,1985,39,Office,,,157 m,157 ,Postmodernism,41.8782,-87.6356,"440 S LaSalle St, Chicago, IL 60605",Lohan Associates,,,,
Millie on Michigan,"Chicago, IL",United States,BKL Architecture,Built,2022,47,Mixed use,,,156.7 m,156.7 ,Contemporary,41.8575,-87.6234,"1000 S Michigan Ave, Chicago, IL 60605",SCB,,,,
600 North Lake Shore Drive - South Tower,"Chicago, IL",United States,Pappageorge/Haymes,Built,2009,46,Residential,,,156.4 m,156.4 ,Modernism,41.892,-87.6147,"600 N Lake Shore Dr, Chicago, IL 60611",Schipporeit-Heinrich Associates,,,,
5415 North Sheridan,"Chicago, IL",United States,Solomon Cordwell Buenz,Built,1974,54,Residential,,,156.4 m,156.4 ,Modernism,41.9791,-87.6557,"5415 N Sheridan Rd, Chicago, IL 60640","Charles M. Lambrinides, PACE Associates",,,,
Harris Bank - Addition II,"Chicago, IL",United States,,Built,1977,38,Office,,,155.4 m,155.4 ,Modernism,41.8845,-87.6356,"111 W Monroe St, Chicago, IL 60603",Harry Weese,,,,
